Genome ID	Genome Name	Organism Name	NCBI Taxon ID	Genome Status	Strain	Serovar	Biovar	Pathovar	MLST	Other Typing	Culture Collection	Type Strain	Completion Date	Publication	BioProject Accession	BioSample Accession	Assembly Accession	SRA Accession	GenBank Accessions	RefSeq Accessions	Sequencing Centers	Sequencing Status	Sequencing Platform	Sequencing Depth	Assembly Method	Chromosomes	Plasmids	Contigs	Genome Length	GC Content	PATRIC CDS	RefSeq CDS	Isolation Site	Isolation Source	Isolation Comments	Collection Date	Isolation Country	Geographic Location	Latitude	Longitude	Altitude	Depth	Other Environmental	Host Name	Host Gender	Host Age	Host Health	Body Sample Site	Body Sample Subsite	Other Clinical	AntiMicrobial Resistance	AntiMicrobial Resistance Evidence	Gram Stain	Cell Shape	Motility	Sporulation	Temperature Range	Optimal Temperature	Salinity	Oxygen Requirement	Habitat	Disease	Comments	Additional Metadata	Coarse Consistency	Fine Consistency	Checkm Completeness	Checkm Contamination	Genome Quality Flags	Genome Quality	Date Inserted	Date Modified
"1002340.3"	"Phaeobacter gallaeciensis ANG1"	"Phaeobacter gallaeciensis ANG1"	1002340	"WGS"	"ANG1"								"2011-04-11T00:00:00Z"	"21551313"	"PRJNA65083"	"SAMN02471702"	"GCA_000203975.2"		"AFCF00000000"	"-"	"University of Connecticut"	"assembly"	"Illumina GAIIx"	"1370x"	"CLC Assembler v. 4.02"			135	4589206	62.57	4388			"pure culture of the bacterium grown"	"isolated from pure culture of the bacterium grown in our laboratory at the University of Connecticut, Department of Molecular and Cellular BiologyThis strain was isolated from the accessory nidamental gland (ANG) of the Euprymna scolopes"		"United States"	"University of Connecticut"						"Hawaiian Bobtail Squid, Euprymna scolopes"														"-"					"DNA isolated from pure culture of the bacterium grown in our laboratory at the University of Connecticut, Department of Molecular and Cellular BiologyThis strain was isolated from the accessory nidamental gland (ANG) of the Euprymna scolopes. It is representative of the dominant contingent of the microbial community within the ANG."		98.9	98.2	100			"Good"	"2014-12-08T22:12:32.006Z"	"2015-03-16T03:17:09.594Z"
"1005043.3"	"Candidatus Regiella insecticola R5.15"	"Candidatus Regiella insecticola R5.15"	1005043	"WGS"	"R5.15"								"2011-09-23T00:00:00Z"	"21948522"	"PRJNA65437"	"SAMN02472138"	"GCA_000284655.1"		"AGCA00000000"	"-"	"Yale University"	"WGS"	"454 GS FLX Titanium"	"16.3x"	"Newbler v. Oct 2009"			562	2013072	42.6	2155	2271					"Australia"	"Australia:Bacchus Marsh"						"Green peach aphid, Myzus persicae"																			"Candidatus Regiella insecticola data was obtained from the aphid Myzus persicae.Candidatus Regiella insecticola is an aphid endosymbiont that confers resistance toward parasitoid wasps."		91.7	87.8	55.5	10.3		"Good"	"2014-12-08T22:10:50.600Z"	"2015-03-16T03:17:09.594Z"
"1009370.3"	"Acetonema longum DSM 6540"	"Acetonema longum DSM 6540"	1009370	"WGS"	"DSM 6540"								"2011-06-22T00:00:00Z"	"19805102"	"PRJNA66109"	"SAMN02469409"	"GCA_000219125.2"		"AFGF00000000"	"-"		"assembly"						296	4323011	50.36	4217	4284		"termite hindgut"										"Termite, Pterotermes occidentis"														"-"					"Termite hindgut symbiont; homoacetogenic metabolism that plays an important role in termite metabolism."		94.6	91.1	100	2.3		"Good"	"2014-12-08T22:09:23.147Z"	"2015-03-16T03:17:09.594Z"
"1009858.3"	"Buchnera aphidicola str. G002 (Myzus persicae)"	"Buchnera aphidicola str. G002 (Myzus persicae)"	1009858	"Complete"	"str. G002 (Myzus persicae)"						" "		"2014-01-22T00:00:00Z"		"PRJNA66105"	"SAMN02641631"	"GCA_000521565.1"		"CP002701.1,CP002702.1"	"NZ_CP002701.1,NZ_CP002702.1"	"University of Miami"	"complete"				1	1	2	651316	25.4084	597	572												"Green peach aphid, Myzus persicae"																	"obligate intracellular symbiont"		"'Buchnera aphidicola Mp is the obligate intracellular symbiont of the green peach aphid, Myzus persicae.  M. persicea is a broad generalist that feeds from plants from over 40 different families, transmits over 100 known plant viruses and has developed resistance to more classes of insecticide than any other insect.'"		98.2	98	100			"Good"	"2014-12-08T22:10:41.063Z"	"2015-03-16T03:17:09.594Z"
"102897.3"	"Frankia sp. EUN1f"	"Frankia sp. EUN1f"	102897	"WGS"	"EUN1f"								"2010-02-04T00:00:00Z"		"PRJNA38795"	"SAMN02441797"	"GCA_000177675.1"		"ADGX00000000"	"NZ_ADGX00000000"	"DOE Joint Genome Institute"	"assembly"						396	9352740	70.8	7766	8182		"Elaeagnus umbellata, the autumn olive"	"isolated from Elaeagnus umbellata, the autumn olive"									"Japanese silverberry, Elaeagnus umbellata"										"Filaments"	"No"	"Yes"	"Mesophilic"	"-"		"Aerobic"			"Frankia sp. EUN1f. This strain was isolated from Elaeagnus umbellata, the autumn olive."		98.3	95.7	99.9	2.8		"Good"	"2014-12-08T22:11:39.369Z"	"2015-03-16T03:17:09.594Z"
"1034808.3"	"Mycoplasma anatis 1340"	"Mycoplasma anatis 1340"	1034808	"WGS"	"1340"								"2011-07-25T00:00:00Z"	"21952548"	"PRJNA67125"	"SAMN02469901"	"GCA_000221305.2"		"AFVJ00000000"	"-"		"assembly"						44	928687	26.64	781	803		"aerocysts and sinuses"			"China"							"Duck, Anas platyrhynchos"														"-"					"-"		97.6	97.3	100			"Good"	"2014-12-08T22:12:23.637Z"	"2015-03-16T03:17:09.594Z"
"1037410.3"	"Mycoplasma columbinum SF7"	"Mycoplasma columbinum SF7"	1037410	"WGS"	"SF7"								"2011-08-08T00:00:00Z"	"23599295"	"PRJNA67465"	"SAMN02469897"	"GCA_000222995.2"		"AFXA00000000"	"-"		"assembly"						15	748210	26.95	609	614		"oral and pharyngeal swabs of an apparently healthy pigeon"	"Mouth and pharynx s"	"1997"	"China"	"Wuhan Province"						"Pigeon"														"-"					"Mycoplasma columbinum, one of the pathogens transmitted in pigeon, can cause chronic respiratory disease, growth retardation, feeding period extension and economic losses. Mycoplasma columbinum SF7, a virulent strain was isolated from infected pigeons came from 2 poultry flocks in our laboratory in Hubei province, China. "		98.3	98.3	100			"Good"	"2014-12-08T22:12:23.801Z"	"2015-03-16T03:17:09.594Z"
"1044999.3"	"Erwinia tracheiphila PSU-1"	"Erwinia tracheiphila PSU-1"	1044999	"WGS"	"PSU-1"								"2013-05-30T00:00:00Z"		"PRJNA67977"	"SAMN01939134"	"GCA_000404125.1"	"SRR768341,SRR768343"	"APJK00000000"	"-"	"USDA-ARS-Pacific Basin Agricultural Research Center"	"WGS"	"454"	"85.0x"	"Newbler v. MapAsmResearch19-Apr-2010"			371	4233406	47.6	5359	4401		"xylem sap from a wilt disease infected wild gourd at Larsen Agricultural Research Station"		"2008"	"United States"	"USA: PA, Rock Springs"						"Cucurbita pepo var. texana"																			"Erwinia tracheiphila is an economically devastating pathogen of curcurbits vectored by striped cucumber beetles.  Once infected, bacteria multiply within the xylem, eventually blocking the vascular system and causing leaves and other tissues to wilt (a condition referred to as bacterial wilt).  There are currently no treatments available for infected plants and very few cultivars display resistance to this pathogen.  Delineating plant-vector-pathogen interactions at the molecular level are paramount to circumventing disease and developing resistant cultivars and genome sequence is the first step to unraveling how this pathogen is able to evade host plant defenses and invade host tissues.  "		97.9	96.6	100			"Good"	"2014-12-08T22:11:18.676Z"	"2015-03-16T03:17:09.594Z"
"1051646.3"	"Vibrio tubiashii ATCC 19109"	"Vibrio tubiashii ATCC 19109"	1051646	"WGS"	"ATCC 19109"						"ATCC 19109"	"Yes"	"2011-08-04T00:00:00Z"	"21930677"	"PRJNA68625"	"SAMN02951905"	"GCA_000222665.2"		"AFWI00000000"	"-"	"FDA"	"assembly"	"454 FLX Titanium"	"20x"	"Newbler v. 2.5"			226	5467464	45	4994	5201												"Clam, Mercenaria mercenaria"														"-"					"-"		98.2	95.3	100	1.2		"Good"	"2014-12-08T22:13:48.821Z"	"2015-03-16T03:17:09.594Z"
"1051646.9"	"Vibrio tubiashii ATCC 19109"		1051646	"Complete"	"19109"						"ATCC:19109"	"Yes"	"2015-01-30T00:00:00Z"	"25523763"	"PRJNA256164"	"SAMN02940924"	"GCF_000772105.1"	"SRR1572007,SRR1582674"	"CP009354,CP009355,CP009357,CP009356,CP009359,CP009358"	"NZ_CP009354.1,NZ_CP009355.1,NZ_CP009357.1,NZ_CP009356.1,NZ_CP009359.1,NZ_CP009358.1"	"USDA-Agricultural Research Service-Eastern Regional Research Center"		"PacBio"	"20x"	"SMRT Analysis Server v. v2.1.0; Celera"	2	4	6	5540337	45.01	5181	4918		"Larvae from hard clams (Mercenaria mercenaria)"		"1965"	"United States"	"USA: Long Island Sound, Connecticut"						"Mercenaria mercenaria"																			"Vibrio tubiashii is the cause of bacillary necrosis in larval shellfish. It is a naturally occurring, Gram-negative, marine bacterium that has long been associated with high mortalities of larval shellfish and significant economic losses in shellfish hatcheries. High mortalities in larval oyster and clam production facilities have been associated with contamination by V. tubiashii and have led to reductions in the availability of seed oysters and clams needed for commercial shellfish planting. Although V. tubiashii has been known for years, the lack of complete genome sequence has slowed the pace of research on this pathogen. Some strains reported to be V. tubiashii, including the American Type Culture Collection [ATCC, Manassas, VA] strain 19105, and strain RE22 were previously misidentified as V. tubiashii and were actually V. coralliilyticus, which is also a shellfish pathogen. In this study, we fully sequenced and annotated the ATCC type strain of V. tubiashii (ATCC 19109) to allow better differentiation between the species and to facilitate research on potential virulence genes and pathogen control mechanisms."		98.8	96.1	100	0.6		"Good"	"2016-01-17T15:40:42.599Z"	"2016-01-17T15:40:42.599Z"
"1079994.3"	"Leucobacter chromiiresistens strain NS354"		1079994	"WGS"	"NS354"								"2015-12-22T00:00:00Z"	"26793183"	"PRJNA278179"	"SAMN03401343"	"GCF_001477055.1"		"LDRK01000000"		"Bacterial Genomics and Evolution Laboratory, CSIR-Institute of Microbial Technology, Sector 39-A, Chandigarh, India"		"Illumina MiSeq"	"101x"	"CLC Genomics Workbench v. 7.5"			194	2794220	70.82	2664	2423				"2013"	"India"	"India"						"Rice, Oryza sativa"																			"To understand ecology and evolution of rice seed associated bacteria by whole genome sequencing."	"sample_type:Microbe"	96.9	95.8	96.9	1.9		"Good"	"2016-01-31T17:43:16.428Z"	"2016-01-31T17:43:16.428Z"
