GenomeName,A_content,T_content,G_content,C_content,Size
g__Abiotrophia.s__Abiotrophia_defectiva,496210,442643,431677,466757,1837287
g__Acaricomes.s__Acaricomes_phytoseiuli,374836,655573,642746,377066,2050221
g__Acaryochloris.s__Acaryochloris_marina,1361331,1289347,1273506,1373600,5297784
g__Acaryochloris.s__Acaryochloris_sp_CCMEE_5410,1634454,1532816,1506737,1622451,6296455
g__Acetivibrio.s__Acetivibrio_cellulolyticus,1773764,1104144,757585,1486584,5122047
g__Acetobacteraceae_noname.s__Acetobacteraceae_bacterium_AT_5844,739031,1590776,1591697,802511,4724015
g__Acetobacterium.s__Acetobacterium_woodii,1066538,772670,602788,970285,3412281
g__Acetobacter.s__Acetobacter_aceti,634353,947354,908689,690430,3180823
g__Acetobacter.s__Acetobacter_pasteurianus,1125026,1400550,1275443,1218091,5019110
g__Acetohalobium.s__Acetohalobium_arabaticum,695377,489649,296542,623196,2104764
g__Acetonema.s__Acetonema_longum,933219,1023828,901625,885399,3744041
g__Acholeplasma.s__Acholeplasma_laidlawii,495854,240740,196547,423867,1357008
g__Achromobacter.s__Achromobacter_arsenitoxydans,938047,1822471,1867596,903754,5531868
g__Achromobacter.s__Achromobacter_piechaudii,2006085,3779508,3811335,1973878,11570716
g__Achromobacter.s__Achromobacter_xylosoxidans,2819219,5766552,5951800,2741025,17278587
g__Acidaminococcus.s__Acidaminococcus_fermentans,470127,597867,551340,389301,2008635
g__Acidaminococcus.s__Acidaminococcus_intestini,525204,548254,529715,504699,2107872
g__Acidaminococcus.s__Acidaminococcus_sp_BV3L6,466894,482342,469656,465445,1884337
g__Acidaminococcus.s__Acidaminococcus_sp_D21,473824,497372,485189,462426,1918811
g__Acidaminococcus.s__Acidaminococcus_sp_HPA0509,474912,496817,485595,469592,1926916
g__Acidianus.s__Acidianus_hospitalis,668148,378303,266454,548505,1861410
g__Acidilobus.s__Acidilobus_saccharovorans,305814,422191,360279,262916,1351200
g__Acidimicrobium.s__Acidimicrobium_ferrooxidans,276946,643371,651596,321207,1893120
g__Acidiphilium.s__Acidiphilium_cryptum,470825,1039870,1077484,501251,3089430
g__Acidiphilium.s__Acidiphilium_multivorum,513685,1125329,1164290,548797,3352101
g__Acidiphilium.s__Acidiphilium_sp_PM,546731,1134828,1165052,575220,3421825
g__Acidithiobacillus.s__Acidithiobacillus_caldus,541405,902807,902064,579918,2926185
g__Acidithiobacillus.s__Acidithiobacillus_ferrivorans,579236,811808,774035,604461,2769540
g__Acidithiobacillus.s__Acidithiobacillus_ferrooxidans,573493,864641,832782,596901,2867817
g__Acidithiobacillus.s__Acidithiobacillus_sp_GGI_221,447168,667941,641911,455517,2212453
g__Acidithiobacillus.s__Acidithiobacillus_thiooxidans,590541,734639,685686,631943,2642770
g__Acidobacterium.s__Acidobacterium_capsulatum,687923,1079849,1087579,691531,3546882
g__Acidocella.s__Acidocella_sp_MX_AZ02,531712,1061417,1012198,574153,3179477
g__Acidothermus.s__Acidothermus_cellulolyticus,346754,734140,731768,383086,2195748
g__Acidovorax.s__Acidovorax_avenae,1289416,2850661,2937902,1247212,8325191
g__Acidovorax.s__Acidovorax_citrulli,796181,1685422,1727180,753154,4961937
g__Acidovorax.s__Acidovorax_delafieldii,744266,1369077,1393433,718865,4225638
g__Acidovorax.s__Acidovorax_ebreus,563241,1135451,1145582,536381,3380655
g__Acidovorax.s__Acidovorax_radicis,840479,1579356,1599680,817944,4837459
g__Acidovorax.s__Acidovorax_sp_CF316,1034175,2142593,2241604,988926,6407298
g__Acidovorax.s__Acidovorax_sp_JS42,641128,1255417,1268799,607363,3772707
g__Acidovorax.s__Acidovorax_sp_KKS102,806452,1497442,1516119,770158,4590171
g__Acidovorax.s__Acidovorax_sp_MR_S7,710681,1521452,1581814,664167,4478114
g__Acidovorax.s__Acidovorax_sp_NO_1,780293,1425468,1431562,749979,4387302
g__Aciduliprofundum.s__Aciduliprofundum_boonei,644927,456709,302687,522549,1926692
g__Acinetobacter.s__Acinetobacter_baumannii,12641950,8873925,7654438,12095242,41265312
g__Acinetobacter.s__Acinetobacter_baylyi,967976,729713,635960,968607,3302256
g__Acinetobacter.s__Acinetobacter_beijerinckii,1397348,963927,818134,1370055,4549464
g__Acinetobacter.s__Acinetobacter_bereziniae,1647647,1109378,950953,1569185,5277154
g__Acinetobacter.s__Acinetobacter_bouvetii,793183,715032,638722,772854,2919785
g__Acinetobacter.s__Acinetobacter_brisouii,769916,614887,542247,767847,2694897
g__Acinetobacter.s__Acinetobacter_gerneri,1167738,790806,678118,1123048,3759710
g__Acinetobacter.s__Acinetobacter_guillouiae,1836984,1249992,1068793,1769463,5925232
g__Acinetobacter.s__Acinetobacter_gyllenbergii,1334532,1016346,880055,1307602,4538535
g__Acinetobacter.s__Acinetobacter_haemolyticus,1747167,1231702,1055079,1672148,5706075
g__Acinetobacter.s__Acinetobacter_indicus,722445,665517,597511,711300,2696773
g__Acinetobacter.s__Acinetobacter_johnsonii,2000028,1548276,1356877,1957692,6862822
g__Acinetobacter.s__Acinetobacter_junii,1575637,1067148,911542,1504555,5058882
g__Acinetobacter.s__Acinetobacter_lwoffii,3994059,3298447,2900382,3918472,14111342
g__Acinetobacter.s__Acinetobacter_nectaris,752292,470680,409252,706182,2338406
g__Acinetobacter.s__Acinetobacter_oleivorans,1098259,772536,674889,1094782,3640466
g__Acinetobacter.s__Acinetobacter_parvus,1106364,861458,748302,1067305,3783423
g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis,11332493,7928817,6918268,11154035,37333430
g__Acinetobacter.s__Acinetobacter_radioresistens,1187749,900861,783791,1143474,4015860
g__Acinetobacter.s__Acinetobacter_rudis,1020711,729867,635688,1013769,3400035
g__Acinetobacter.s__Acinetobacter_schindleri,1131901,912683,798370,1096897,3939851
g__Acinetobacter.s__Acinetobacter_soli,926055,752748,671625,915245,3265673
g__Acinetobacter.s__Acinetobacter_sp_528,1058987,742824,650004,1048048,3499863
g__Acinetobacter.s__Acinetobacter_sp_ADP1,916368,695879,606607,920457,3139311
g__Acinetobacter.s__Acinetobacter_sp_ANC_3789,801954,626769,553205,796658,2778586
g__Acinetobacter.s__Acinetobacter_sp_ANC_3862,1015230,706092,601487,989708,3312517
g__Acinetobacter.s__Acinetobacter_sp_ANC_3880,1101069,843393,731726,1086460,3762648
g__Acinetobacter.s__Acinetobacter_sp_ANC_3929,1096478,819588,709799,1067966,3693831
g__Acinetobacter.s__Acinetobacter_sp_ANC_3994,907280,668395,576716,898122,3050513
g__Acinetobacter.s__Acinetobacter_sp_ANC_4105,1055267,797655,690148,1038538,3581608
g__Acinetobacter.s__Acinetobacter_sp_ATCC_27244,887071,639563,549571,868011,2944216
g__Acinetobacter.s__Acinetobacter_sp_CIP_101934,758667,632743,557497,748802,2697709
g__Acinetobacter.s__Acinetobacter_sp_CIP_101966,804935,679504,597097,791311,2872844
g__Acinetobacter.s__Acinetobacter_sp_CIP_102082,723367,570456,497064,704142,2495029
g__Acinetobacter.s__Acinetobacter_sp_CIP_102129,724416,578715,501378,703971,2508480
g__Acinetobacter.s__Acinetobacter_sp_CIP_102136,827793,687869,604380,813931,2933973
g__Acinetobacter.s__Acinetobacter_sp_CIP_102143,730574,575115,500858,710896,2517443
g__Acinetobacter.s__Acinetobacter_sp_CIP_102159,712578,565011,490719,693949,2462257
g__Acinetobacter.s__Acinetobacter_sp_CIP_102529,729309,576504,500618,708414,2514845
g__Acinetobacter.s__Acinetobacter_sp_CIP_102637,671893,537485,466452,655681,2331511
g__Acinetobacter.s__Acinetobacter_sp_CIP_110321,1082101,824174,714952,1063880,3685107
g__Acinetobacter.s__Acinetobacter_sp_CIP_51_11,733472,629471,553289,732704,2648936
g__Acinetobacter.s__Acinetobacter_sp_CIP_53_82,704197,660302,594556,696660,2655715
g__Acinetobacter.s__Acinetobacter_sp_CIP_56_2,1109683,851923,738362,1093706,3793674
g__Acinetobacter.s__Acinetobacter_sp_CIP_64_2,990518,774545,677782,977079,3419924
g__Acinetobacter.s__Acinetobacter_sp_CIP_64_7,832093,699492,617037,816380,2965002
g__Acinetobacter.s__Acinetobacter_sp_CIP_70_18,1187333,900032,780442,1158836,4026640
g__Acinetobacter.s__Acinetobacter_sp_CIP_A162,792427,672131,590426,781603,2836587
g__Acinetobacter.s__Acinetobacter_sp_CIP_A165,886797,656667,570888,868812,2983164
g__Acinetobacter.s__Acinetobacter_sp_GG2,1023099,714139,625657,1021260,3384155
g__Acinetobacter.s__Acinetobacter_sp_HA,693291,582358,512992,683400,2472041
g__Acinetobacter.s__Acinetobacter_sp_MDS7A,689583,529624,459223,671439,2349845
g__Acinetobacter.s__Acinetobacter_sp_NBRC_100985,935267,668052,569393,921806,3094518
g__Acinetobacter.s__Acinetobacter_sp_NCTC_10304,1005640,715892,627525,988693,3337750
g__Acinetobacter.s__Acinetobacter_sp_NCTC_7422,968703,760279,664258,955509,3348740
g__Acinetobacter.s__Acinetobacter_sp_NIPH_1847,965133,805242,711152,952643,3434170
g__Acinetobacter.s__Acinetobacter_sp_NIPH_1859,1054341,825152,721129,1036103,3636725
g__Acinetobacter.s__Acinetobacter_sp_NIPH_1867,1006449,760959,661152,996643,3425203
g__Acinetobacter.s__Acinetobacter_sp_NIPH_2036,980076,762599,666728,965072,3374475
g__Acinetobacter.s__Acinetobacter_sp_NIPH_2100,989585,761337,661810,982629,3395361
g__Acinetobacter.s__Acinetobacter_sp_NIPH_2168,1014872,799970,695234,1006660,3516736
g__Acinetobacter.s__Acinetobacter_sp_NIPH_2171,821849,669959,591110,808910,2891828
g__Acinetobacter.s__Acinetobacter_sp_NIPH_236,945338,656969,561885,927709,3091901
g__Acinetobacter.s__Acinetobacter_sp_NIPH_284,812822,574750,493985,793362,2674919
g__Acinetobacter.s__Acinetobacter_sp_NIPH_298,898154,667926,576450,883318,3025848
g__Acinetobacter.s__Acinetobacter_sp_NIPH_3623,965616,800827,709482,956495,3432420
g__Acinetobacter.s__Acinetobacter_sp_NIPH_542,1100709,776418,678237,1095968,3651332
g__Acinetobacter.s__Acinetobacter_sp_NIPH_713,705351,608055,534910,701234,2549550
g__Acinetobacter.s__Acinetobacter_sp_NIPH_758,1008532,787220,681690,994931,3472373
g__Acinetobacter.s__Acinetobacter_sp_NIPH_809,1072144,833478,725417,1058597,3689636
g__Acinetobacter.s__Acinetobacter_sp_NIPH_817,1077699,757836,658436,1072150,3566121
g__Acinetobacter.s__Acinetobacter_sp_NIPH_899,899249,724086,639049,874701,3137085
g__Acinetobacter.s__Acinetobacter_sp_NIPH_973,1085926,757650,664260,1076446,3584282
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,1015088,691008,582060,988820,3276976
g__Acinetobacter.s__Acinetobacter_sp_TG19627,1171648,891072,772184,1145161,3980065
g__Acinetobacter.s__Acinetobacter_sp_TG2027,1028093,723388,634097,1018603,3404181
g__Acinetobacter.s__Acinetobacter_sp_TG27347,1059939,743494,650679,1049082,3503194
g__Acinetobacter.s__Acinetobacter_sp_WC_743,1252065,852919,727096,1211643,4043723
g__Acinetobacter.s__Acinetobacter_tandoii,1025939,761830,661268,1005489,3454526
g__Acinetobacter.s__Acinetobacter_tjernbergiae,976454,681112,581598,954782,3193946
g__Acinetobacter.s__Acinetobacter_towneri,709712,551351,478397,694124,2433584
g__Acinetobacter.s__Acinetobacter_ursingii,1554042,1139317,980933,1524098,5198390
g__Acinetobacter.s__Acinetobacter_venetianus,1348581,954072,815931,1320241,4438822
g__Actinoalloteichus.s__Actinoalloteichus_spitiensis,611350,1614931,1621082,628040,4475403
g__Actinobacillus.s__Actinobacillus_capsulatus,695072,503871,422787,640388,2262118
g__Actinobacillus.s__Actinobacillus_minor,1208442,842575,711226,1118662,3880083
g__Actinobacillus.s__Actinobacillus_pleuropneumoniae,1298146,962383,802977,1184399,4247902
g__Actinobacillus.s__Actinobacillus_succinogenes,564598,503337,431563,536236,2035734
g__Actinobacillus.s__Actinobacillus_suis,668164,487500,408795,618809,2183265
g__Actinobacillus.s__Actinobacillus_ureae,618811,449286,377294,576327,2021718
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA023_D18,215585,153980,122395,204814,696759
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA023_J06,166740,145596,131210,170566,614064
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA024_D14,196339,173290,154781,199054,723452
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA027_J17,265401,211662,170094,257107,904237
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA027_L06,316757,245839,197419,304207,1064219
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA028_A23,229477,177214,141921,220716,769292
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA044_N04,327034,290447,262855,336052,1216358
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA278_I18,261697,205177,161527,255436,883810
g__Actinobacteria_noname.s__actinobacterium_SCGC_AAA278_O22,277089,255971,250018,279669,1062714
g__Actinobacteria_noname.s__marine_actinobacterium_PHSC20C1,507591,746548,772792,534281,2561212
g__Actinobaculum.s__Actinobaculum_massiliense,348823,551463,528968,352723,1781977
g__Actinobaculum.s__Actinobaculum_schaalii,343918,565227,566076,364261,1839482
g__Actinobaculum.s__Actinobaculum_sp_oral_taxon_183,342531,689585,728829,322985,2083930
g__Actinobaculum.s__Actinobaculum_urinale,400995,426754,410557,386227,1624473
g__Actinokineospora.s__Actinokineospora_enzanensis,972851,2439462,2445731,988179,6846223
g__Actinomadura.s__Actinomadura_atramentaria,724084,2072050,2100857,733026,5629957
g__Actinomadura.s__Actinomadura_flavalba,685432,1869805,1990969,693781,5239987
g__Actinomadura.s__Actinomadura_madurae,1207620,3077374,3169775,1190667,8645433
g__Actinomyces.s__Actinomyces_cardiffensis,355890,559884,607984,366934,1890692
g__Actinomyces.s__Actinomyces_coleocanis,378553,401756,379495,395790,1555594
g__Actinomyces.s__Actinomyces_europaeus,361990,513636,469868,372994,1718488
g__Actinomyces.s__Actinomyces_georgiae,327440,733374,785392,318946,2165152
g__Actinomyces.s__Actinomyces_graevenitzii,640503,906278,917856,661740,3126377
g__Actinomyces.s__Actinomyces_johnsonii,606149,1203193,1339590,609321,3758253
g__Actinomyces.s__Actinomyces_massiliensis,533109,1141808,1223137,563851,3461905
g__Actinomyces.s__Actinomyces_naeslundii,420969,873276,981105,431313,2706642
g__Actinomyces.s__Actinomyces_neuii,427353,572938,541584,408755,1950630
g__Actinomyces.s__Actinomyces_odontolyticus,482128,901640,986471,500767,2871006
g__Actinomyces.s__Actinomyces_oris,374532,772561,878231,376007,2401280
g__Actinomyces.s__Actinomyces_sp_HPA0247,351998,663349,724071,367112,2106530
g__Actinomyces.s__Actinomyces_sp_ICM39,330459,629908,695582,342937,1998886
g__Actinomyces.s__Actinomyces_sp_ICM47,360814,666375,724529,376345,2128063
g__Actinomyces.s__Actinomyces_sp_oral_taxon_170,431621,895243,995378,443940,2766182
g__Actinomyces.s__Actinomyces_sp_oral_taxon_171,413906,850928,956754,416289,2637877
g__Actinomyces.s__Actinomyces_sp_oral_taxon_172,359772,696755,771836,362557,2190920
g__Actinomyces.s__Actinomyces_sp_oral_taxon_175,421588,887954,1008817,418784,2737143
g__Actinomyces.s__Actinomyces_sp_oral_taxon_178,352000,811567,865692,343302,2372561
g__Actinomyces.s__Actinomyces_sp_oral_taxon_180,342597,669843,720779,349134,2082353
g__Actinomyces.s__Actinomyces_sp_oral_taxon_181,355391,486036,486947,398070,1726444
g__Actinomyces.s__Actinomyces_sp_oral_taxon_448,358140,819826,893539,383146,2454651
g__Actinomyces.s__Actinomyces_sp_oral_taxon_848,406092,715879,726428,375206,2223605
g__Actinomyces.s__Actinomyces_sp_oral_taxon_849,466207,922952,1041627,467894,2898680
g__Actinomyces.s__Actinomyces_sp_oral_taxon_877,349264,816041,869242,341450,2375997
g__Actinomyces.s__Actinomyces_sp_ph3,346505,475207,479640,391230,1692582
g__Actinomyces.s__Actinomyces_timonensis,347704,808928,952976,350503,2460111
g__Actinomyces.s__Actinomyces_turicensis,352466,496307,495772,377500,1722045
g__Actinomyces.s__Actinomyces_urogenitalis,349092,773731,822925,369579,2315312
g__Actinomyces.s__Actinomyces_vaccimaxillae,425124,591888,606098,449197,2072307
g__Actinomyces.s__Actinomyces_viscosus,417499,878936,995234,419575,2711244
g__Actinomycetospora.s__Actinomycetospora_chiangmaiensis,640334,1877838,1959100,689254,5166394
g__Actinoplanes.s__Actinoplanes_friuliensis,1220085,2901848,3069991,1240518,8432442
g__Actinoplanes.s__Actinoplanes_globisporus,1367354,3359172,3500230,1387083,9613680
g__Actinoplanes.s__Actinoplanes_missouriensis,1134894,2807526,2842630,1142354,7927404
g__Actinoplanes.s__Actinoplanes_sp_N902_109,1140444,2846489,2937146,1146674,8070753
g__Actinoplanes.s__Actinoplanes_sp_SE50_110,1144593,2885419,2957660,1150701,8138373
g__Actinopolymorpha.s__Actinopolymorpha_alba,1043926,2266906,2311750,1066880,6689279
g__Actinopolyspora.s__Actinopolyspora_halophila,711094,1548078,1468105,678757,4406034
g__Actinopolyspora.s__Actinopolyspora_mortivallis,543882,1243859,1181360,528467,3497565
g__Actinosynnema.s__Actinosynnema_mirum,910058,2694903,2551603,933464,7090028
g__Adenoviridae_noname.s__Titi_monkey_adenovirus_ECC_2011,7650,10348,11837,6882,36717
g__Adlercreutzia.s__Adlercreutzia_equolifaciens,416696,755634,761520,421303,2355153
g__Advenella.s__Advenella_kashmirensis,1615695,2091455,1988627,1617157,7312934
g__Aequorivita.s__Aequorivita_sublithincola,1065370,623762,531506,909379,3130017
g__Aerococcus.s__Aerococcus_urinae,476953,360879,338311,440149,1616292
g__Aerococcus.s__Aerococcus_viridans,974961,665985,579291,863265,3083502
g__Aeromicrobium.s__Aeromicrobium_marinum,400805,984579,1022629,410107,2818120
g__Aeromicrobium.s__Aeromicrobium_sp_JC14,1007702,1909307,2002796,936410,5856197
g__Aeromonas.s__Aeromonas_aquariorum,764730,1267600,1317138,735853,4085321
g__Aeromonas.s__Aeromonas_caviae,718482,1168614,1217773,692882,3797751
g__Aeromonas.s__Aeromonas_diversa,645036,1080467,1116666,656922,3499091
g__Aeromonas.s__Aeromonas_hydrophila,3083001,5101788,5212562,3004067,16401418
g__Aeromonas.s__Aeromonas_media,688484,1128063,1165792,667020,3648807
g__Aeromonas.s__Aeromonas_molluscorum,692366,1040479,1059494,692829,3485168
g__Aeromonas.s__Aeromonas_salmonicida,1173707,1703827,1702727,1152414,5732675
g__Aeromonas.s__Aeromonas_sp_159,583911,860213,858605,578606,2881335
g__Aeromonas.s__Aeromonas_sp_MDS8,664877,1090965,1130225,631648,3517685
g__Aeromonas.s__Aeromonas_veronii,2578382,3906218,3897749,2589699,12972048
g__Aeropyrum.s__Aeropyrum_pernix,337161,475172,365061,297169,1474563
g__Aestuariimicrobium.s__Aestuariimicrobium_kwangyangense,417745,899087,938445,422369,2677646
g__Afipia.s__Afipia_birgiae,857875,1387785,1363045,863450,4472155
g__Afipia.s__Afipia_broomeae,874897,1425925,1413279,870922,4585023
g__Afipia.s__Afipia_clevelandensis,735014,1214137,1207719,730348,3887218
g__Afipia.s__Afipia_felis,713885,1144847,1136599,723053,3718384
g__Afipia.s__Afipia_sp_1NLS2,667951,1093522,1093008,673307,3527788
g__Agarivorans.s__Agarivorans_albus,1169513,979897,889280,1118173,4156863
g__Aggregatibacter.s__Aggregatibacter_actinomycetemcomitans,1725986,1440078,1325547,1597159,6088677
g__Aggregatibacter.s__Aggregatibacter_aphrophilus,899004,703642,635272,846995,3084913
g__Aggregatibacter.s__Aggregatibacter_segnis,528871,413642,368757,496987,1808257
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,524234,416741,372548,492863,1806386
g__Agrobacterium.s__Agrobacterium_albertimagni,851233,1359737,1428330,871089,4510377
g__Agrobacterium.s__Agrobacterium_fabrum,849827,1296175,1319235,885462,4350699
g__Agrobacterium.s__Agrobacterium_sp_10MFCol1_1,963815,1421462,1435862,993441,4814580
g__Agrobacterium.s__Agrobacterium_sp_224MFTsu3_1,823768,1272908,1299038,853056,4248770
g__Agrobacterium.s__Agrobacterium_sp_ATCC_31749,970629,1454807,1472340,1002682,4900437
g__Agrobacterium.s__Agrobacterium_sp_H13_3,879717,1303990,1320396,908999,4413102
g__Agrobacterium.s__Agrobacterium_tumefaciens,5349837,8201599,8368045,5530055,27449536
g__Agrobacterium.s__Agrobacterium_vitis,859943,1273758,1244404,909000,4287105
g__Agrococcus.s__Agrococcus_pavilionensis,347466,910610,948245,350566,2556887
g__Agromyces.s__Agromyces_italicus,485588,1123493,1200543,489548,3299172
g__Agromyces.s__Agromyces_subbeticus,587606,1292598,1385896,593241,3859341
g__Ahjdlikevirus.s__Staphylococcus_phage_44AHJD,6040,2592,2137,4897,15666
g__Ahjdlikevirus.s__Staphylococcus_phage_66,6750,2770,2309,5262,17091
g__Ahjdlikevirus.s__Staphylococcus_phage_P68,6726,2782,2302,5302,17112
g__Ahjdlikevirus.s__Staphylococcus_phage_SAP_2,6142,2542,2108,4850,15642
g__Ahjdlikevirus.s__Streptococcus_phage_C1,5410,2681,2457,4059,14607
g__Ahrensia.s__Ahrensia_kielensis,766665,782164,698240,798613,3045682
g__Ahrensia.s__Ahrensia_sp_R2A130,723097,976080,960493,721538,3381208
g__Ajellomyces.s__Ajellomyces_capsulatus,3055922,2934430,2991896,2650127,11627599
g__Ajellomyces.s__Ajellomyces_dermatitidis,3622597,3472331,3624109,3286648,14005685
g__Akkermansia.s__Akkermansia_muciniphila,517058,659006,657273,485531,2318868
g__Albidiferax.s__Albidiferax_ferrireducens,822339,1297339,1253079,834185,4206942
g__Alcaligenes.s__Alcaligenes_faecalis,678334,1006241,960904,746927,3392406
g__Alcaligenes.s__Alcaligenes_sp_EGD_AK7,766483,1109378,1065097,841003,3781961
g__Alcaligenes.s__Alcaligenes_sp_HPC1271,662456,954824,915843,724557,3257614
g__Alcanivorax.s__Alcanivorax_borkumensis,606378,785043,720320,613558,2725299
g__Alcanivorax.s__Alcanivorax_dieselolei,816725,1396330,1328559,832122,4373736
g__Alcanivorax.s__Alcanivorax_hongdengensis,638852,1011282,999765,620588,3270487
g__Alcanivorax.s__Alcanivorax_pacificus,664444,1150620,1118288,655015,3588367
g__Alcanivorax.s__Alcanivorax_sp_DG881,676120,990757,935765,662450,3264732
g__Alfamovirus.s__Alfalfa_mosaic_virus,2051,1650,1539,2083,7323
g__Algicola.s__Algicola_sagamiensis,1137725,884303,792226,1043755,3858009
g__Algoriphagus.s__Algoriphagus_machipongonensis,1362656,934505,741957,1226671,4265789
g__Alicycliphilus.s__Alicycliphilus_denitrificans,837863,1726054,1771404,780285,5115606
g__Alicycliphilus.s__Alicycliphilus_sp_CRZ1,395636,900142,895912,377749,2569439
g__Alicyclobacillus.s__Alicyclobacillus_acidocaldarius,1362079,2445152,2191768,1416088,7415081
g__Alicyclobacillus.s__Alicyclobacillus_acidoterrestris,816287,990305,838275,812624,3457491
g__Alicyclobacillus.s__Alicyclobacillus_hesperidum,569829,743769,644528,596797,2554923
g__Alicyclobacillus.s__Alicyclobacillus_pohliae,661337,882678,715099,609071,2868185
g__Aliivibrio.s__Aliivibrio_fischeri,2692635,1800938,1526109,2583793,8603466
g__Aliivibrio.s__Aliivibrio_logei,1366528,955884,811749,1311643,4444601
g__Aliivibrio.s__Aliivibrio_salmonicida,978674,687896,585925,944875,3197370
g__Alishewanella.s__Alishewanella_aestuarii,772211,874406,782085,781430,3210132
g__Alishewanella.s__Alishewanella_agri,771117,859011,764791,783627,3178546
g__Alishewanella.s__Alishewanella_jeotgali,820899,913393,816506,824904,3375702
g__Alistipes.s__Alistipes_finegoldii,715580,910237,921873,610518,3158208
g__Alistipes.s__Alistipes_indistinctus,585615,707357,688062,516672,2497706
g__Alistipes.s__Alistipes_onderdonkii,746906,992024,1004239,633757,3376926
g__Alistipes.s__Alistipes_putredinis,545506,623291,601065,480397,2250259
