Genome ID	Genome Name	Organism Name	NCBI Taxon ID	Genome Status	Strain	Serovar	Biovar	Pathovar	MLST	Other Typing	Culture Collection	Type Strain	Completion Date	Publication	BioProject Accession	BioSample Accession	Assembly Accession	SRA Accession	GenBank Accessions	RefSeq Accessions	Sequencing Centers	Sequencing Status	Sequencing Platform	Sequencing Depth	Assembly Method	Chromosomes	Plasmids	Contigs	Genome Length	GC Content	PATRIC CDS	RefSeq CDS	Isolation Site	Isolation Source	Isolation Comments	Collection Date	Isolation Country	Geographic Location	Latitude	Longitude	Altitude	Depth	Other Environmental	Host Name	Host Gender	Host Age	Host Health	Body Sample Site	Body Sample Subsite	Other Clinical	AntiMicrobial Resistance	AntiMicrobial Resistance Evidence	Gram Stain	Cell Shape	Motility	Sporulation	Temperature Range	Optimal Temperature	Salinity	Oxygen Requirement	Habitat	Disease	Comments	Additional Metadata	Coarse Consistency	Fine Consistency	Checkm Completeness	Checkm Contamination	Genome Quality Flags	Genome Quality	Date Inserted	Date Modified
"1000568.3"	"Megasphaera sp. UPII 199-6"	"Megasphaera sp. UPII 199-6"	1000568	"WGS"	"UPII 199-6"								"2011-05-23T00:00:00Z"		"PRJNA64689"	"SAMN00255229"	"GCA_000214495.2"	"SRR173058"	"AFIJ00000000"	"NZ_AFIJ00000000"	"J. Craig Venter Institute"	"assembly"	"454-GS-FLX-Titanium"	"57.36x"	"Newbler v. 2.5.3"			45	1640787	46.37	1577	1558			"Vagina"									"Human, Homo sapiens"				"Urogenital tract; Vaginal"										"-"					"A reference genome for the Human Microbiome Project. "		97.9	97.3	99.1	0.9		"Good"	"2014-12-08T22:12:02.175Z"	"2015-03-16T03:17:09.594Z"
"1000569.4"	"Megasphaera sp. UPII 135-E"	"Megasphaera sp. UPII 135-E"	1000569	"WGS"	"UPII 135-E"								"2011-07-25T00:00:00Z"		"PRJNA64691"	"SAMN00255226"	"GCA_000221545.2"	"SRR173055"	"AFUG00000000"	"-"		"assembly"						49	1650551	38.88	1517	1513												"Human, Homo sapiens"														"-"					"A reference genome for the Human Microbiome Project. "		96.9	96.2	100			"Good"	"2014-12-08T22:12:02.166Z"	"2015-03-16T03:17:09.594Z"
"1001593.3"	"Leptospira noguchii str. 2006001870"	"Leptospira noguchii str. 2006001870"	1001593	"WGS"	"2006001870"				"MLST.Leptospira_spp_2.186"				"2011-06-07T00:00:00Z"		"PRJNA65053"	"SAMN02436466"	"GCA_000216255.3"		"AFLY00000000"	"-"	"J. Craig Venter Institute"	"assembly"	"454 Paired-End Titanium"	"17.53x"	"Celera Assembler 7 beta v. March 2011"			54	4843355	35.56	5533			"Homo sapiens"	"isolated in the USA from a Homo sapiens"		"United States"	"United States"						"Human, Homo sapiens"														"-"					"Leptospira noguchii serovar undetermined str. 2006001870 was isolated in the USA from a Homo sapiens."		99	91.1	100	13		"Good"	"2014-12-08T22:11:59.011Z"	"2015-03-16T03:17:09.594Z"
"1002367.3"	"Prevotella stercorea DSM 18206"	"Prevotella stercorea DSM 18206"	1002367	"WGS"	"DSM 18206"						" "		"2011-11-18T00:00:00Z"		"PRJNA65131"	"SAMN02299453"	"GCA_000235885.1"		"AFZZ00000000"	"-"	"Washington University Genome Center"	"WGS"						263	3092669	49	2480	3017		"gut"										"Human, Homo sapiens"																			"Reference genome for the Human Microbiome Project"		98.2	97.6	98.7	1.3		"Good"	"2014-12-08T22:12:33.786Z"	"2015-03-16T03:17:09.594Z"
"1002368.3"	"Yokenella regensburgei ATCC 43003"	"Yokenella regensburgei ATCC 43003"	1002368	"WGS"	"ATCC 43003"						" "		"2011-12-21T00:00:00Z"		"PRJNA65133"	"SAMN02299454"	"GCA_000239335.1"		"AGCL00000000"	"-"	"Washington University Genome Center"	"WGS"						48	4681132	54.82	4379	4710		"gut"										"Human, Homo sapiens"																			"Reference genome for the Human Microbiome Project"		99.3	97.7	99.6	1.5		"Good"	"2014-12-08T22:13:52.312Z"	"2015-03-16T03:17:09.594Z"
"1005995.4"	"Tatumella ptyseos ATCC 33301"		1005995	"WGS"	"ATCC 33301"						"ATCC:33301"	"Yes"	"2014-07-28T00:00:00Z"		"PRJNA65509"	"SAMN02743387"	"GCF_000735525.1"		"JMPR01000000"		"UW-GEL"		"454"	"20.0x"	"Newbler v. 2.5.3"			89	3532407	51.6	3777	3349		"human sputum"			"United States"	"USA:Maryland"						"Human, Homo sapiens"																			"The strain was purchased from ATCC, and DNA was prepared at the University of Wisconsin - Genome Evolution Laboratory. This is the type strain of the genus Tatumella, and is being sequenced as part of a project to increase the breadth of genome sequence data available for the Enterobacteriaceae. See ?Assembling the Tree of Life: Enterobacteriaceae http://atol.genetics.wisc.edu/"	"biomaterial_provider:ATCC"	97.7	96	100			"Good"	"2016-01-17T15:38:06.350Z"	"2016-01-17T15:38:06.350Z"
"1006000.3"	"Kluyvera ascorbata ATCC 33433"		1006000	"WGS"	"ATCC 33433"						"ATCC 33433"		"2014-07-28T00:00:00Z"	"-"	"PRJNA65517"	"SAMN02743264"	"GCA_000735365.1"		"JMPL00000000"	"-"	"UW-GEL"		"454"	"9.0x"	"Newbler v. 2.5.3"			253	4932354	54.3	4550	4667		"human sputum"			"United States"	"USA:North Carolina"						"Human, Homo sapiens"																			" Kluyvera ascorbata ATCC 33433. This strain will be used for comparative genome analysis."		99.2	97.1	99.1	1.7		"Good"	"2014-12-08T22:28:44.180Z"	"2015-03-16T03:17:09.594Z"
"1008457.3"	"Myroides injenensis M09-0166"	"Myroides injenensis M09-0166"	1008457	"WGS"							" "		"2012-02-04T00:00:00Z"	"22535932"	"PRJDA171989"	"SAMD00036610"	"GCA_000246945.2"		"BAEX00000000"	"-"	"Korea Research Institute of Bioscience and Biotechnology"	"WGS"	"454"	"36x"				226	3458160	31.35	2993			"urine of a patient with fever"										"Human, Homo sapiens"																			"The Myroides strains are not normal human microflora. They have been consistently isolated, nevertheless, from clinical specimens such as human urine, feces, infected wounds, sputum and blood."		97.9	97.5	99.9			"Good"	"2014-12-08T22:12:24.582Z"	"2015-03-16T03:17:09.594Z"
"1028805.3"	"Haemophilus haemolyticus M21621"	"Haemophilus haemolyticus M21621"	1028805	"WGS"	"M21621"				"MLST.Haemophilus_influenzae.1103"				"2011-07-29T00:00:00Z"	"21952546"	"PRJNA66577"	"SAMN02952886"	"GCA_000222065.2"		"AFQQ00000000"	"-"		"assembly"						28	2089205	38.39	1994	2		"knee fluid"	"knee fluid"	"2010"	"United States"	"USA: Texas"						"Human, Homo sapiens"														"-"					"Recently, noncommensal H. haemolyticus (Hhae) strains have appeared in clinically derived blood and knee fluid cultures. Hhae strains have traditionally been distinguished from closely related nontypeable H. influenzae (NTHi) strains by their beta hemolysis activity on blood agar. However, not all Hhae strains exhibit this activity. Distinguishing between pathogenic and commensal strains of Hhae and NTHi and documenting the genetic basis of virulence in these strains are crucial steps in developing public health initiatives to combat disease caused by these strains. ;low quality sequence"		99.4	93.1	100	10.6		"Good"	"2014-12-08T22:11:42.068Z"	"2015-03-16T03:17:09.594Z"
"1030841.3"	"Neisseria wadsworthii 9715"	"Neisseria wadsworthii 9715"	1030841	"WGS"	"9715"						" "		"2011-10-06T00:00:00Z"		"PRJNA66911"	"SAMN02299456"	"GCA_000227765.1"		"AGAZ00000000"	"-"	"Baylor College of Medicine"	"WGS"						97	2406524	48.62	2534	2553		"skin"										"Human, Homo sapiens"																			"Reference genome for the Human Microbiome Project"		96.2	95.8	96	3.3		"Good"	"2014-12-08T22:12:26.994Z"	"2015-03-16T03:17:09.594Z"
"1032069.3"	"Campylobacter ureolyticus RIGS 9880"		1032069	"Complete"	"RIGS 9880"								"2015-08-03T00:00:00Z"		"PRJNA66811"	"SAMN03737995"	"GCF_001190755.1"		"CP012195"	"NZ_CP012195.1"	"USDA, ARS, WRRC"		"Sanger dideoxy sequencing; 454; Illumina;"	"1841x"	"Newbler v. 2.6"	1		1	1641887	29.23	1685	1594					"Denmark"	"Denmark"						"Human, Homo sapiens"																			"USDA, ARS, WRRC"	"sample_type:cell culture"	95.6	95.5	95.6	0.9		"Good"	"2016-01-17T16:42:17.303Z"	"2016-01-17T16:42:17.303Z"
"1033730.6"	"Aeromicrobium massiliense JC14"		1033730	"WGS"	"JC14"								"2012-08-16T00:00:00Z"		"PRJEA82327"	"SAMEA2272444"	"GCF_000312105.1"		"CAHG01000000"		"URMITE CNRS UMR 6236 IRD 198"							5	3322119	72.49	3327			"host stool sample"			"France"	"France:Marseille"						"Human, Homo sapiens"																			"-"		96.3	95.9	100			"Good"	"2016-01-17T15:29:20.093Z"	"2016-01-17T15:29:20.093Z"
"1033731.3"	"Alistipes sp. JC136"	"Alistipes sp. JC136"	1033731	"WGS"	"Alistipes timonensis P148 (CSUR:JC136T)"								"2012-03-02T00:00:00Z"		"PRJEA68303"	"SAMEA2272181"	"GCA_000285455.1"		"CAEG00000000"	"-"	"laboratoire URMITE"	"WGS"						38	3489612	58.85	2769			"host stool sample"			"Senegal"	"Senegal"						"Human, Homo sapiens"																			"-"		99.2	98.7	100			"Good"	"2014-12-08T22:09:59.297Z"	"2015-03-16T03:17:09.594Z"
"1033732.3"	"Alistipes senegalensis JC50"	"Alistipes senegalensis JC50"	1033732	"WGS"	"JC50"						" "		"2012-06-01T00:00:00Z"		"PRJEA82331"	"SAMEA2272561"	"GCA_000312145.1"		"CAHI00000000"	"-"	"URMITE CNRS UMR 6236 IRD 198"	"WGS"						41	3985109	58.4	3301			"host stool sample"			"France"	"France:Marseille"						"Human, Homo sapiens"																			"Alistipes senegalensis JC50, whole genome shotgun sequencing project"		99.1	98.4	100			"Good"	"2014-12-08T22:09:59.124Z"	"2015-03-16T03:17:09.594Z"
"1033733.3"	"Anaerococcus senegalensis JC48"	"Anaerococcus senegalensis JC48"	1033733	"WGS"	"JC48"						" "		"2012-11-19T00:00:00Z"		"PRJEA70539"	"SAMEA2272803"	"GCA_000321005.2"		"CAEK00000000"	"-"	"laboratoire URMITE CNRS 6236"	"WGS"						39	1780308	28.39	1740			"host stool sample"			"Senegal"	"Senegal"						"Human, Homo sapiens"																			"-"		99.5	98.4	100			"Good"	"2014-12-08T22:10:03.289Z"	"2015-03-16T03:17:09.594Z"
"1033734.3"	"Bacillus sp. 10403023"	"Bacillus sp. 10403023"	1033734	"WGS"	"10403188"								"2012-02-28T00:00:00Z"		"PRJEA70827"	"SAMEA2272358"	"GCA_000285535.1"		"CAET00000000"	"-"	"laboratoire URMITE CNRS 6236"	"WGS"						146	4608729	37.28	4681			"host stool sample"			"Senegal"	"Senegal"						"Human, Homo sapiens"																			"-"		95.3	92.8	99.2	5.2		"Good"	"2014-12-08T22:10:18.398Z"	"2015-03-16T03:17:09.594Z"
"1033736.3"	"Brevibacterium sp. JC43"	"Brevibacterium sp. JC43"	1033736	"WGS"	"JC43"								"2012-05-04T00:00:00Z"		"PRJEA82613"	"SAMEA2272372"	"GCA_000285835.2"		"CAHK00000000"	"-"	"URMITE CNRS UMR 6236 IRD 198"	"WGS"						70	3398858	70	3054			"host stool sample"			"France"	"France:Marseille"						"Human, Homo sapiens"																			"-"		97.4	96.6	98.7			"Good"	"2014-12-08T22:10:35.541Z"	"2015-03-16T03:17:09.594Z"
"1033737.3"	"Clostridium sp. JC122"	"Clostridium sp. JC122"	1033737	"WGS"	"JC122"								"2012-02-28T00:00:00Z"		"PRJEA70833"	"SAMEA2272503"	"GCA_000285575.1"		"CAEV00000000"	"-"	"laboratoire URMITE CNRS 6236"	"WGS"						191	3871245	26.87	3693			"host stool sample"			"Senegal"	"Senegal"						"Human, Homo sapiens"																			"-"		95.5	93.3	100	1.1		"Good"	"2014-12-08T22:11:01.494Z"	"2015-03-16T03:17:09.594Z"
"1033739.3"	"Kurthia sp. JC30"	"Kurthia sp. JC30"	1033739	"WGS"	"JC30"								"2012-02-28T00:00:00Z"		"PRJEA70831"	"SAMEA2272071"	"GCA_000285555.1"		"CAEU00000000"	"-"	"laboratoire URMITE CNRS 6236"	"WGS"						116	3201696	39.26	3180			"host stool sample"			"Senegal"	"Senegal"						"Human, Homo sapiens"																			"-"		96.1	95	100			"Good"	"2014-12-08T22:11:51.465Z"	"2015-03-16T03:17:09.594Z"
"1033740.3"	"Kurthia sp. JC8E"	"Kurthia sp. JC8E"	1033740	"WGS"	"JC8E"								"2012-02-28T00:00:00Z"		"PRJEA70835"	"SAMEA2272665"	"GCA_000285595.1"		"CAEW00000000"	"-"	"laboratoire URMITE CNRS 6236"	"WGS"						73	2976740	38.22	3031			"host stool sample"			"Senegal"	"Senegal"						"Human, Homo sapiens"																			"-"		96.3	93.6	99.1	4.3		"Good"	"2014-12-08T22:11:51.474Z"	"2015-03-16T03:17:09.594Z"
"1033743.3"	"Paenibacillus sp. JC66"	"Paenibacillus sp. JC66"	1033743	"WGS"	"JC66"								"2012-02-28T00:00:00Z"		"PRJEA70825"	"SAMEA2271960"	"GCA_000285515.1"		"CAES00000000"	"-"	"laboratoire URMITE CNRS 6236"	"WGS"						197	5494973	48.21	5330			"host stool sample"			"Senegal"	"Senegal"						"Human, Homo sapiens"																			"-"		94.5	92.3	98.6	1.7		"Good"	"2014-12-08T22:12:29.958Z"	"2015-03-16T03:17:09.594Z"
"1033744.3"	"Peptoniphilus sp. JC140"	"Peptoniphilus sp. JC140"	1033744	"WGS"	"JC140"								"2012-11-19T00:00:00Z"		"PRJEA70541"	"SAMEA2272315"	"GCA_000321025.1"		"CAEL00000000"	"-"	"laboratoire URMITE CNRS 6236"	"WGS"						64	1816348	32.24	1742			"host stool sample"			"Senegal"	"Senegal"						"Human, Homo sapiens"																			"-"		96.6	95.8	100			"Good"	"2014-12-08T22:12:31.783Z"	"2015-03-16T03:17:09.594Z"
